customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Brenda Levy,zcoffey@example.net,Haiti,2022-01-23,Basic,205.90
2,Dennis Martinez,emily49@example.com,Swaziland,2024-10-21,Basic,166.78
3,Michael Ruiz,rose31@example.net,Swaziland,2023-12-08,Premium,1035.81
4,Marie Wilson,shahkevin@example.com,Brazil,2022-02-05,Standard,675.32
5,Brandy Chavez,umatthews@example.org,Turks and Caicos Islands,2023-09-08,Basic,384.61
6,John Russell,antonio53@example.com,Kenya,2026-05-14,Standard,641.37
7,Ariana Jennings,bruce43@example.org,Yemen,2025-11-08,Premium,1463.34
8,Matthew May,williamsmatthew@example.org,Solomon Islands,2024-06-08,Premium,185.05
9,Phillip Clark,lisahall@example.org,Solomon Islands,2026-02-12,Premium,1168.36
10,Scott Thomas,amberlindsey@example.org,Panama,2025-12-12,Premium,412.87
11,Hunter Kramer,alfred40@example.org,Saint Vincent and the Grenadines,2023-09-20,Standard,382.81
12,Arthur West,william17@example.net,Cyprus,2026-05-05,Premium,1179.42
13,Richard Camacho,stephen00@example.com,Tanzania,2023-08-15,Basic,368.59
14,Katherine Browning,lammarc@example.org,Bahrain,2022-03-30,Standard,85.62
15,Lauren Joseph,hvang@example.com,Korea,2024-02-21,Standard,352.65
16,Ricky Wilson,russellbeasley@example.com,Guadeloupe,2025-10-01,Premium,1312.45
17,Nicholas Edwards,elizabeth52@example.net,Uzbekistan,2023-12-26,Standard,268.51
18,Bradley Reynolds,lisa80@example.net,Zimbabwe,2024-06-03,Standard,546.05
19,Bryan Gomez,uparrish@example.org,France,2024-08-12,Standard,709.31
20,Kenneth Lewis,gwalker@example.com,Tanzania,2024-05-24,Standard,694.68
21,Donald Perez,xbruce@example.net,Nicaragua,2024-12-27,Standard,237.65
22,Lisa Barrett,anthony44@example.com,Guernsey,2021-08-23,Standard,245.38
23,Kylie Morales,joycebonilla@example.org,San Marino,2024-04-07,Standard,611.58
24,Jesse Moore,jennifer99@example.org,Turks and Caicos Islands,2021-11-16,Premium,1685.89
25,Luke Craig,scott67@example.net,Kenya,2023-09-07,Standard,239.17
26,Jose Reed,campbellerika@example.com,Malta,2024-12-12,Standard,277.48
27,James Greene,harrissierra@example.org,Serbia,2022-11-21,Basic,69.02
28,Adam Burgess,davidpatel@example.org,Macao,2024-05-28,Basic,273.96
29,Heather Sanders,grahamsteve@example.org,Tokelau,2023-03-06,Premium,813.31
30,Jared Bowman,darius05@example.org,Spain,2026-05-09,Standard,396.30
31,Michael Cox,prichard@example.com,Namibia,2023-08-13,Standard,549.42
32,Seth Reese,masonjackson@example.net,North Macedonia,2022-03-08,Premium,1506.39
33,Susan Bailey,joelthomas@example.org,China,2024-08-16,Standard,298.61
34,Mary Thompson,kmarshall@example.net,Kiribati,2025-01-07,Basic,390.58
35,Maria Downs,michelle52@example.com,Bangladesh,2023-12-16,Basic,370.89
36,Rebecca Vargas,william47@example.com,Argentina,2021-11-23,Standard,683.36
37,Angela Lin,gilbertwilliam@example.com,Mozambique,2024-05-20,Standard,457.58
38,Stephanie Cole,marcalvarez@example.org,Bahamas,2023-11-13,Standard,698.81
39,Sara Haas,wagnergerald@example.org,Russian Federation,2023-10-20,Standard,264.25
40,Joseph Moore,samantha66@example.com,Philippines,2024-08-08,Standard,519.22
41,Maria Jones,grantpaul@example.com,Saint Kitts and Nevis,2025-11-14,Standard,649.04
42,Lindsey Hernandez,aguilardonald@example.com,Georgia,2026-06-14,Premium,501.27
43,Jenna Larson,collinsnicholas@example.com,Suriname,2022-04-02,Premium,1467.59
44,Theresa Osborn,lucasrodney@example.com,Andorra,2023-06-05,Basic,374.39
45,Daniel Meza,ilee@example.org,Belarus,2023-02-03,Standard,455.67
46,Katie Fernandez,stanleynancy@example.net,Bulgaria,2024-08-07,Standard,648.37
47,Christopher Schwartz,jenniferwilliams@example.com,Philippines,2025-03-18,Standard,439.88
48,Lisa Goodwin,pyoung@example.com,Sudan,2025-07-15,Standard,574.33
49,Cheyenne Gregory,smurray@example.com,Macao,2024-04-01,Basic,288.15
50,Ruth Solis,moniquewilliams@example.com,Tunisia,2023-06-21,Premium,1349.09
51,Michelle Black,mitchellkathryn@example.com,Korea,2026-02-20,Standard,140.94
52,Jeffrey Potts,lisawilkerson@example.org,Israel,2021-11-17,Standard,126.31
53,Cynthia Vang,jeffrey51@example.net,Pakistan,2023-04-16,Standard,489.36
54,Andrew Lowery,ihorton@example.net,Latvia,2023-11-09,Standard,729.02
55,Bobby Scott,anaacosta@example.net,Jamaica,2022-03-03,Standard,503.03
56,Eric Williams,nfowler@example.com,Bahrain,2022-03-02,Basic,202.20
57,Linda Smith,jennifercarter@example.org,Nicaragua,2023-05-18,Standard,448.30
58,Chelsea Barnett,carlos88@example.net,Solomon Islands,2026-07-22,Standard,200.37
59,Jeanette Harrison,qzavala@example.net,Andorra,2023-05-26,Standard,331.55
60,David Sandoval,ingramjill@example.com,Burkina Faso,2021-11-01,Basic,146.34
61,Robin Thompson,epollard@example.net,Cocos (Keeling) Islands,2025-09-02,Standard,124.62
62,Ricardo Ellis,james30@example.com,Venezuela,2023-03-01,Standard,331.50
63,Robert Kennedy,mullinsjames@example.com,Tokelau,2025-07-08,Basic,95.54
64,Evelyn Martinez,samuel67@example.com,Guadeloupe,2026-06-25,Standard,318.47
65,Jonathan Glass MD,acostachristian@example.net,Swaziland,2022-07-07,Premium,1660.16
66,Brian Murphy,kirk96@example.org,Portugal,2023-11-01,Standard,588.91
67,Nicholas Buck,yhill@example.org,Belarus,2024-12-20,Premium,312.49
68,Jose Brady,stephaniethomas@example.net,Philippines,2025-07-09,Standard,450.96
69,Austin Osborne,michael90@example.net,Cape Verde,2025-01-03,Standard,144.72
70,Jacqueline Hines,alyssasanders@example.net,Fiji,2022-11-11,Premium,1047.90
71,Noah Porter,hmcintyre@example.com,Singapore,2022-11-30,Standard,604.50
72,Zachary Mitchell,igonzalez@example.org,Korea,2022-06-23,Basic,44.44
73,Yolanda Cochran,elizabeth18@example.net,French Guiana,2026-01-26,Standard,600.94
74,Michelle Ho,laurahicks@example.org,Cook Islands,2025-07-29,Basic,241.43
75,Johnny Ward,tanner82@example.net,Turks and Caicos Islands,2022-01-16,Basic,127.39
76,Zachary Higgins,khammond@example.org,Brunei Darussalam,2026-06-23,Standard,537.59
77,Joanna Frazier,david89@example.org,Seychelles,2026-06-12,Standard,256.52
78,Thomas Brown,holmeskevin@example.org,Gibraltar,2026-04-15,Standard,173.51
79,Travis Stone,meghan43@example.net,Zimbabwe,2024-05-14,Standard,261.27
